state,permit,permit_recheck,handgun,long_gun,other,multiple,admin,prepawn_handgun,prepawn_long_gun,prepawn_other,redemption_handgun,redemption_long_gun,redemption_other,returned_handgun,returned_long_gun,returned_other,private_sale_handgun,private_sale_long_gun,private_sale_other,return_to_seller_handgun,return_to_seller_long_gun,return_to_seller_other,totals,population_estimates,persons_under_5_years_%,persons_under_18_years_%,persons_65_years_and_over_%,female_persons_%,white_alone_%,black_or_african_american_alone_%,american_indian_and_alaska_native_alone_%,asian_alone_%,native_hawaiian_and_other_pacific_islander_alone_%,two_or_more_races_%,hispanic_or_latino_%,white_alone_not_hispanic_or_latino_%,housing_units,building_permits_2016
alabama,27765.0,0.0,10132.0,7392.0,538.0,465.0,0.0,5.0,3.0,0.0,1457.0,1151.0,3.0,0.0,0.0,0.0,9.0,5.0,0.0,1.0,1.0,0.0,48927.0,4863300.0,6.0,22.6,16.1,51.6,69.3,26.8,0.7,1.4,0.1,1.6,4.2,65.8,2230185.0,15001.0
alaska,215.0,0.0,2898.0,2816.0,239.0,165.0,0.0,7.0,10.0,0.0,200.0,178.0,4.0,20.0,16.0,0.0,7.0,17.0,0.0,1.0,0.0,0.0,6793.0,741894.0,7.3,25.2,10.4,47.7,66.1,3.8,15.2,6.3,1.3,7.3,7.0,61.2,310658.0,1503.0
arizona,7863.0,308.0,13693.0,8643.0,1283.0,642.0,0.0,5.0,10.0,0.0,1272.0,631.0,7.0,103.0,13.0,0.0,13.0,9.0,0.0,0.0,1.0,0.0,34496.0,6931071.0,6.3,23.5,16.9,50.3,83.3,4.9,5.4,3.4,0.3,2.8,30.9,55.5,2961003.0,35578.0
arkansas,4116.0,677.0,6323.0,5053.0,325.0,367.0,2.0,6.0,14.0,0.0,1001.0,1476.0,4.0,0.0,0.0,0.0,7.0,5.0,1.0,0.0,1.0,0.0,19378.0,2988248.0,6.4,23.6,16.3,50.9,79.4,15.7,1.0,1.6,0.3,2.0,7.3,72.9,1354762.0,9474.0
california,77962.0,0.0,46361.0,47594.0,17297.0,0.0,0.0,0.0,0.0,0.0,492.0,504.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190218.0,39250017.0,6.3,23.2,13.6,50.3,72.7,6.5,1.7,14.8,0.5,3.8,38.9,37.7,14060525.0,102350.0
colorado,6372.0,0.0,18765.0,15176.0,1505.0,1054.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43094.0,5540545.0,6.1,22.8,13.4,49.7,87.5,4.5,1.6,3.3,0.2,3.0,21.3,68.6,2339118.0,38974.0
connecticut,14156.0,0.0,11328.0,4015.0,252.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29755.0,3576452.0,5.2,21.1,16.1,51.2,80.6,11.8,0.5,4.7,0.1,2.3,15.7,67.7,1499116.0,5504.0
delaware,755.0,0.0,1859.0,1569.0,140.0,74.0,0.0,0.0,1.0,0.0,15.0,8.0,0.0,0.0,0.0,0.0,45.0,22.0,5.0,1.0,0.0,0.0,4494.0,952065.0,5.8,21.5,17.5,51.6,70.1,22.6,0.6,4.0,0.1,2.6,9.2,62.9,426149.0,5804.0
florida,28106.0,0.0,57902.0,28000.0,4504.0,2324.0,12.0,8.0,2.0,0.0,2984.0,1198.0,9.0,99.0,7.0,1.0,39.0,12.0,1.0,0.0,0.0,0.0,125208.0,20612439.0,5.5,20.1,19.9,51.1,77.6,16.8,0.5,2.9,0.1,2.1,24.9,54.9,9301642.0,116240.0
georgia,20555.0,0.0,15342.0,8597.0,635.0,632.0,0.0,12.0,8.0,0.0,1999.0,1392.0,4.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,49183.0,10310371.0,6.4,24.4,13.1,51.3,61.2,32.0,0.5,4.1,0.1,2.1,9.4,53.4,4218776.0,51675.0
hawaii,1563.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1565.0,1428557.0,6.4,21.6,17.1,49.8,25.8,2.2,0.4,37.7,10.2,23.7,10.4,22.1,537114.0,3369.0
idaho,3606.0,6.0,3592.0,3576.0,247.0,203.0,0.0,3.0,3.0,0.0,353.0,537.0,4.0,15.0,2.0,0.0,2.0,4.0,0.0,0.0,1.0,0.0,12154.0,1683140.0,6.8,26.0,15.1,49.9,93.3,0.8,1.8,1.5,0.2,2.4,12.3,82.4,700825.0,12165.0
illinois,125075.0,8969.0,21421.0,11881.0,0.0,881.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168227.0,12801539.0,6.0,22.9,14.6,50.9,77.2,14.7,0.6,5.5,0.1,1.9,17.0,61.7,5326970.0,22603.0
indiana,53844.0,0.0,19508.0,12191.0,1600.0,644.0,8.0,1.0,2.0,0.0,17.0,479.0,5.0,4.0,0.0,1.0,23.0,9.0,1.0,3.0,0.0,0.0,88340.0,6633053.0,6.4,23.8,14.9,50.7,85.6,9.7,0.4,2.2,0.1,2.0,6.8,79.6,2854546.0,18713.0
iowa,9391.0,11.0,186.0,2227.0,27.0,1.0,1.0,0.0,0.0,0.0,2.0,61.0,0.0,17.0,9.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,11937.0,3134693.0,6.4,23.3,16.4,50.3,91.4,3.7,0.5,2.5,0.1,1.8,5.8,86.2,1380162.0,14317.0
kansas,1320.0,3.0,6075.0,4942.0,462.0,329.0,2.0,6.0,1.0,0.0,610.0,365.0,1.0,7.0,5.0,1.0,3.0,5.0,0.0,1.0,2.0,0.0,14140.0,2907289.0,6.7,24.6,15.0,50.2,86.6,6.2,1.2,3.0,0.1,2.9,11.6,76.3,1259864.0,9807.0
kentucky,342858.0,0.0,9378.0,6615.0,321.0,534.0,0.0,7.0,18.0,2.0,1748.0,1554.0,20.0,4.0,3.0,0.0,13.0,8.0,2.0,0.0,0.0,0.0,363085.0,4436974.0,6.2,22.8,15.6,50.7,88.0,8.3,0.3,1.5,0.1,1.9,3.5,85.0,1965556.0,12714.0
louisiana,2595.0,0.0,21637.0,12252.0,1453.0,1031.0,0.0,8.0,9.0,0.0,1128.0,936.0,3.0,0.0,0.0,0.0,7.0,2.0,0.0,1.0,0.0,1.0,41063.0,4681666.0,6.6,23.8,14.4,51.1,63.2,32.6,0.8,1.8,0.1,1.6,5.0,59.0,2036975.0,14503.0
maine,540.0,0.0,3426.0,3026.0,266.0,166.0,0.0,1.0,1.0,0.0,120.0,133.0,0.0,9.0,10.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,7702.0,1331479.0,4.9,19.1,19.4,51.0,94.8,1.5,0.7,1.2,0.43043478260869567,1.7,1.6,93.5,730705.0,4010.0
maryland,2383.0,0.0,3973.0,5505.0,105.0,35.0,0.0,1.0,1.0,0.0,65.0,113.0,0.0,31.0,8.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,12228.0,6016447.0,6.1,22.4,14.6,51.6,59.3,30.7,0.6,6.6,0.1,2.8,9.8,51.5,2447127.0,17044.0
massachusetts,7091.0,5.0,6257.0,5108.0,1498.0,439.0,2.0,0.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,28.0,32.0,10.0,0.0,3.0,0.0,20480.0,6811779.0,5.3,20.2,15.8,51.5,81.8,8.6,0.5,6.7,0.1,2.3,11.5,73.0,2858026.0,16288.0
michigan,15869.0,3753.0,11308.0,8095.0,510.0,239.0,0.0,0.0,0.0,0.0,14.0,275.0,0.0,62.0,12.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,40142.0,9928300.0,5.8,22.1,16.2,50.8,79.6,14.2,0.7,3.1,0.43043478260869567,2.4,5.0,75.4,4560055.0,20408.0
